app,workload,vus,metric,mean,ci
mvc,cpu,10,throughput,40.863114412993426,0.23770369888544557
mvc,cpu,10,avg,215.5283133618165,1.2471655673351503
mvc,cpu,10,p95,294.8583546666666,5.21482724359754
mvc,cpu,10,p99,315.7852100033333,8.928827247446062
mvc,cpu,20,throughput,41.09130552017288,0.3045666135946224
mvc,cpu,20,avg,427.4431207551279,3.0576235184571154
mvc,cpu,20,p95,577.5583578666666,20.821612210614354
mvc,cpu,20,p99,622.9457944466666,34.59806843509656
mvc,cpu,30,throughput,41.11437610189793,0.09303615417315364
mvc,cpu,30,avg,640.3547377798401,1.7358609099245872
mvc,cpu,30,p95,913.9852587333331,29.306675647933293
mvc,cpu,30,p99,1004.1546407733334,30.44597946811843
mvc,cpu,40,throughput,41.188204867981966,0.36435839068442344
mvc,cpu,40,avg,852.0808107261252,8.137060173116112
mvc,cpu,40,p95,1250.9052959833332,11.473397992211805
mvc,cpu,40,p99,1394.1916707766666,14.378708981670233
mvc,cpu,50,throughput,41.130803251332985,0.47593575289522777
mvc,cpu,50,avg,1066.586671288506,12.445394355782566
mvc,cpu,50,p95,1594.3749593833334,12.570878884118924
mvc,cpu,50,p99,1769.5194018000002,31.946359266962965
mvc,cpu,75,throughput,41.04217946151422,0.4614403341264063
mvc,cpu,75,avg,1604.1892394067627,17.23870206404077
mvc,cpu,75,p95,2459.9040507333334,32.011824329674326
mvc,cpu,75,p99,2739.3144167133337,24.995251030020118
mvc,cpu,100,throughput,41.006023846855626,0.4067172272423144
mvc,cpu,100,avg,2142.0672452529616,20.687417447786355
mvc,cpu,100,p95,3405.077400999999,177.9089588842047
mvc,cpu,100,p99,3827.1585247733324,269.62590636310614
mvc,io,50,throughput,854.0243875538703,8.889418242480778
mvc,io,50,avg,51.14303049658755,0.5156981016330368
mvc,io,50,p95,51.85278706666667,0.9065535337691981
mvc,io,50,p99,55.02325849333332,4.3079080994648535
mvc,io,100,throughput,924.3788430421163,7.402198246606187
mvc,io,100,avg,94.5656295515375,0.7505271292251887
mvc,io,100,p95,175.8578072833333,60.043947187864475
mvc,io,100,p99,234.61550410333334,72.22937870370518
mvc,io,150,throughput,944.6737707213543,7.896372201370617
mvc,io,150,avg,138.856406150977,1.1610371960939536
mvc,io,150,p95,299.29175784999967,114.28691271046763
mvc,io,150,p99,420.8176389066666,145.981146335873
mvc,io,200,throughput,954.8668821454661,7.123034576057071
mvc,io,200,avg,183.20903079852522,1.3767448128946094
mvc,io,200,p95,438.88470161666646,190.29050046992018
mvc,io,200,p99,607.0289365966668,219.25625970856865
mvc,io,250,throughput,960.6007139878175,8.393355078852537
mvc,io,250,avg,227.68061550870485,1.9450836896179071
mvc,io,250,p95,508.1581812,220.69474409191562
mvc,io,250,p99,712.2905898933333,376.35623750201665
mvc,io,300,throughput,972.86963885573,7.4011615714070595
mvc,io,300,avg,282.59954837363455,2.164297995788857
mvc,io,300,p95,513.6866457666666,209.5094834303936
mvc,io,300,p99,761.1187940666667,375.83492012392134
mvc,io,400,throughput,976.949284149115,8.143272009510298
mvc,io,400,avg,375.3062194604432,3.1129837172781842
mvc,io,400,p95,609.3053587333333,221.34970697569892
mvc,io,400,p99,811.1905810100001,427.62830405585237
mvc,io,500,throughput,978.9434772387749,7.8690275272277335
mvc,io,500,avg,468.2421449042549,3.8445862683536465
mvc,io,500,p95,710.7242095,221.99684882071136
mvc,io,500,p99,897.3752063866654,363.04661731315593
mvc,io,600,throughput,980.1562043136363,8.71653696301427
mvc,io,600,avg,561.2746967174535,5.0513584851690405
mvc,io,600,p95,812.4505353666667,222.64846538935922
mvc,io,600,p99,1016.3402533099999,435.2548261560642
mvc,io,800,throughput,982.3256741196568,4.529083184260162
mvc,io,800,avg,746.8432653731069,3.4603093146779473
mvc,io,800,p95,1016.0137029333333,218.6803199693306
mvc,io,800,p99,1217.68765626,214.97553550625847
webflux,cpu,10,throughput,33.43420608515962,0.033034814632718054
webflux,cpu,10,avg,263.46749389517964,0.3083262026264279
webflux,cpu,10,p95,360.3926323333333,1.6574364579088892
webflux,cpu,10,p99,475.96054253333335,2.7662620750721154
webflux,cpu,20,throughput,33.64747030484266,0.007239471709195726
webflux,cpu,20,avg,522.1723577083158,0.13504175265826796
webflux,cpu,20,p95,723.3272498666665,13.466422889100897
webflux,cpu,20,p99,830.8004856566666,0.502068756507931
webflux,cpu,30,throughput,33.718477715407225,0.09423216922034544
webflux,cpu,30,avg,781.1225579484662,2.2269922363099917
webflux,cpu,30,p95,1146.5038613333334,151.65553978346261
webflux,cpu,30,p99,1304.8021866566667,11.771198766390716
webflux,cpu,40,throughput,33.76067389235762,0.018826863299069328
webflux,cpu,40,avg,1039.9935757969806,0.8958275747986786
webflux,cpu,40,p95,1420.7824199833333,0.7696574410199246
webflux,cpu,40,p99,1539.93110393,5.023940549143741
webflux,cpu,50,throughput,33.769469035019796,0.009407187523052815
webflux,cpu,50,avg,1299.8046871744289,0.5076674309105034
webflux,cpu,50,p95,1775.3987283,2.73038957527174
webflux,cpu,50,p99,1858.317074783333,157.00955559238406
webflux,cpu,75,throughput,33.792431769820766,0.10613081364615463
webflux,cpu,75,avg,1949.2070479545862,6.84762818654504
webflux,cpu,75,p95,2602.9053142666667,12.312797112544153
webflux,cpu,75,p99,2765.32220543,171.00211098847964
webflux,cpu,100,throughput,33.82046095376361,0.04032336423844742
webflux,cpu,100,avg,2599.5811890292703,4.305419226852711
webflux,cpu,100,p95,3313.0986601166665,4.890047390409457
webflux,cpu,100,p99,3545.29924979,19.396204087673713
webflux,io,50,throughput,848.2827250873224,12.798362600136254
webflux,io,50,avg,51.508771231251195,0.7535291091612469
webflux,io,50,p95,52.35448866666666,1.2102749306111213
webflux,io,50,p99,55.27167208666666,4.217786819352911
webflux,io,100,throughput,920.4641697084716,8.637293977400414
webflux,io,100,avg,94.98945798060406,0.9012679074497255
webflux,io,100,p95,102.62221971666666,1.0931275700527174
webflux,io,100,p99,106.45130338,3.1278893848309535
webflux,io,150,throughput,941.0064009768613,9.74861977270822
webflux,io,150,avg,139.40949277104025,1.4272235159512907
webflux,io,150,p95,153.57349401666667,1.2710927784760278
webflux,io,150,p99,157.17281789999996,3.4668864518814706
webflux,io,200,throughput,951.162730488607,8.637993593170354
webflux,io,200,avg,183.9209110417504,1.6517431559306068
webflux,io,200,p95,204.65422281666665,1.1963780097273746
webflux,io,200,p99,210.1771517,3.1943953225496635
webflux,io,250,throughput,958.2392551109256,7.000085732301766
webflux,io,250,avg,228.2502654828685,1.6969450277189426
webflux,io,250,p95,255.63480460000002,1.2472692033266357
webflux,io,250,p99,260.20849906000007,2.9614867348410807
webflux,io,300,throughput,970.1805612535405,8.523993145327257
webflux,io,300,avg,283.38275621699444,2.5088016816432037
webflux,io,300,p95,306.48590571666665,1.5316901882665295
webflux,io,300,p99,311.36535002333335,3.182942590023204
webflux,io,400,throughput,973.6839691584473,8.586325283435539
webflux,io,400,avg,376.54692615520275,3.3119227766688017
webflux,io,400,p95,408.59945825,2.2135135634279766
webflux,io,400,p99,414.85851341333336,5.361854671231582
webflux,io,500,throughput,976.1391346173749,10.903154572661023
webflux,io,500,avg,469.58309034462314,5.2947140523812655
webflux,io,500,p95,510.99055676666666,4.791154345420504
webflux,io,500,p99,516.8537472466668,7.222780729133273
webflux,io,600,throughput,978.9645864583111,2.3184009604914726
webflux,io,600,avg,561.9580202839082,1.3346314948196696
webflux,io,600,p95,612.6876111,1.3002072271722482
webflux,io,600,p99,620.1872053966667,2.2614576510452924
webflux,io,800,throughput,979.1699496006286,10.819078221237532
webflux,io,800,avg,749.264410282626,8.281456296271749
webflux,io,800,p95,819.2148043833334,12.146422981647044
webflux,io,800,p99,824.93138467,9.162655479828633
